num_threads,execution_time
1,0.988492
2,0.507300
3,0.543008
4,0.550877
5,0.565723
6,0.566382
7,0.563882
8,0.560617
9,0.544667
10,0.559405
11,0.534148
12,0.534222
13,0.528570
14,0.539636
15,0.559577
16,0.539906
17,0.537162
18,0.527491
19,0.540270
20,0.536053
21,0.540159
22,0.546709
23,0.542028
24,0.528985
25,0.535685
26,0.539746
27,0.534595
28,0.511913
29,0.523880
30,0.520237
31,0.524641
32,0.529396
33,0.518635
34,0.524701
35,0.520830
36,0.532708
37,0.520068
38,0.525962
39,0.519749
40,0.521698
41,0.514316
42,0.525359
43,0.508903
44,0.521194
45,0.515966
46,0.512644
47,0.514662
48,0.518158
49,0.523397
50,0.522421
51,0.514530
52,0.509495
53,0.524640
54,0.519692
55,0.522755
56,0.508101
57,0.525404
58,0.518781
59,0.530914
60,0.519205
61,0.508693
62,0.509382
63,0.535537
64,0.521584
65,0.523666
66,0.515617
67,0.506360
68,0.515588
69,0.543813
70,0.508755
71,0.512904
72,0.518436
73,0.515611
74,0.505171
75,0.512474
76,0.515923
77,0.513027
78,0.510665
79,0.516894
80,0.512602
81,0.525788
82,0.522422
83,0.505171
84,0.514972
85,0.508558
86,0.504256
87,0.514806
88,0.511408
89,0.511830
90,0.527375
91,0.507559
92,0.507775
93,0.511286
94,0.505829
95,0.515817
96,0.525105
97,0.511336
98,0.504645
99,0.518249
100,0.530129
101,0.529769
102,0.515047
103,0.503581
104,0.512052
105,0.507491
106,0.523822
107,0.504401
108,0.503136
109,0.529473
110,0.599301
111,0.537902
112,0.515861
113,0.515552
114,0.511780
115,0.528874
116,0.507830
117,0.514627
118,0.533606
119,0.517564
120,0.513148
121,0.530431
122,0.508841
123,0.511684
124,0.539300
125,0.511679
126,0.512316
127,0.512029
128,0.504815
129,0.514695
130,0.521850
131,0.504705
132,0.504625
133,0.519263
134,0.513681
135,0.516324
136,0.504189
137,0.534875
138,0.521706
139,0.527219
140,0.517937
141,0.516941
142,0.514318
143,0.510812
144,0.526590
145,0.504168
146,0.514870
147,0.514847
148,0.522035
149,0.519759
150,0.535333
151,0.525527
152,0.540654
153,0.518066
154,0.514250
155,0.510529
156,0.509954
157,0.523447
158,0.521165
159,0.514326
160,0.517574
161,0.516502
162,0.515590
163,0.503546
164,0.531943
165,0.514820
166,0.514271
167,0.503818
168,0.508331
169,0.527294
170,0.509954
171,0.508930
172,0.514845
173,0.524363
174,0.512720
175,0.532173
176,0.528151
177,0.512741
178,0.512793
179,0.517370
180,0.507451
181,0.511009
182,0.520742
183,0.517958
184,0.508346
185,0.520215
186,0.508815
187,0.520898
188,0.515229
189,0.507057
190,0.513667
191,0.514411
192,0.513764
193,0.519008
194,0.517349
195,0.531578
196,0.526378
197,0.515890
198,0.510747
199,0.516716
200,0.510974
